,Workload_Name,Frequency,Voltage,Core_Count,Actual,EPH_0x11:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x1b:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x50:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x14:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x19:Frequency_A15:Voltage_A15_Squared_Percentage
680,dhrystone,600,0.902893836,4,0.928484979,33.40882285,19.40903457,0.051328968,25.24453338,0.010381845
681,neon_add,600,0.903817568,4,1.071728919,36.38075141,16.32149803,0.045168296,23.72776239,0.005274886
682,neon_mul,600,0.903860544,4,1.070665279,36.525093,16.27473475,0.045031505,23.65849191,0.005050886
683,cstm_bmp,600,0.901768707,4,0.660971537,46.06316296,8.331766828,0.097648865,14.82456998,0.013909243
684,cstm_int,600,0.903860544,4,0.949744293,28.89472665,17.6422782,1.84161925,31.64574461,0.796117184
685,cstm_fp,600,0.90412415,4,0.993317313,28.02894837,18.67685993,1.041541587,32.51925701,0.913544156
686,lat_ctx_0_18,600,0.904064626,4,0.549513653,45.87819383,8.594848707,1.216985181,9.922237816,0.220242945
687,lat_ctx_500_18,600,0.901706897,4,0.621664324,44.66532438,8.773586165,2.894618508,8.964139397,4.959533374
688,lat_fs,600,0.901686644,4,0.673863055,40.1532701,8.893353983,1.954729599,20.93383981,0.645726862
689,lat_pagefault,600,0.902200342,4,0.658723815,37.18227266,8.788531029,2.323235106,23.45759601,0.097535459
690,lat_mem_rd_1_8,600,0.90125,4,0.569191322,50.03638903,7.015277127,1.019315297,8.9069797,0.016447823
691,lat_mem_rd_1_256,600,0.901305556,4,0.51132843,54.00573126,3.854225274,2.880639353,3.73914356,0.014210761
692,lat_mem_rd_200_8,600,0.901360544,4,0.554330027,52.25781056,5.642402884,2.011395918,5.629647252,0.025404688
693,lat_mem_rd_200_256,600,0.90135274,4,0.511196637,53.63044489,3.755849324,3.254982492,3.925751489,0.025780356
694,lat_mem_rd_p4,600,0.901326531,4,0.530691122,52.77488053,6.443010494,0.089528317,5.975757596,0.011785055
695,lat_ops,600,0.903290816,4,0.584711701,42.05991153,12.48661035,0.201528011,15.34986569,0.025433779
696,lat_proc_fork,600,0.901955782,4,0.567703857,49.60069711,8.815787177,0.982295804,7.000752885,0.170276188
697,bw_mem_rd,600,0.901939655,4,0.664185241,41.5712593,4.833978386,4.385636178,7.865845398,13.52151314
698,bw_mem_wr,600,0.902126736,4,0.616449771,40.84409367,3.174526779,3.268580196,5.751349277,19.37997337
699,bw_mem_cp_200m,600,0.901675532,4,0.634057163,37.17316674,4.025926592,4.140498697,8.137377145,17.61615763
700,bw_mem_cp_700m,600,0.901946429,4,0.623764986,38.4799952,8.461913955,0.901030656,17.01573283,6.018140525
701,bw_mem_cp_2000m,600,0.901496599,4,0.563446354,51.29628242,9.013205444,0.360827789,4.750642212,0.279809508
702,tlb,600,0.901335034,4,0.517362782,53.14087781,6.357147753,0.1763146,4.45557809,0.059792465
703,line,600,0.901360544,4,0.611778327,45.82938192,8.301864631,1.610726657,7.45415709,6.039735013
704,cache,600,0.900462329,4,0.51761689,51.08280462,1.311069546,5.490341838,1.795873547,6.431812994
705,par_mem,600,0.901327055,4,0.646372733,46.22892046,2.820846115,6.003095607,3.135264971,11.23756812
706,gcc,600,0.903270548,4,0.777136267,33.76498626,11.43920498,3.303529571,25.81331178,2.359693242
707,tar,600,0.905399306,4,0.850643,29.22092025,16.23570991,3.035658544,28.85515493,0.355887211
708,mpeg4_lq_mp,600,0.914594828,4,0.325004159,18.05464146,7.137070491,2.607536704,13.63093889,5.05188961
709,par_mem_mp,600,0.901534483,4,0.642730331,46.24672999,2.710623001,6.20272558,3.010279201,11.37968968
710,mp_bus_spd,600,0.902814626,4,0.849790837,35.25440634,14.63243825,5.677033948,18.38676165,2.976398673
711,mp_bus_spd2,600,0.902959184,4,0.897777367,33.88081544,13.45290184,6.228313897,21.48767035,2.863667626
712,mp_dhry,600,0.911173469,4,0.494588136,24.23750523,14.28009184,1.234051774,25.1054983,0.011095642
713,mp_mflops,600,0.909464286,4,0.427977762,37.03082687,13.23286528,0.795227553,1.051959907,1.963510755
714,mp_lp_neon,600,0.902277397,4,0.734982336,35.64102849,9.232074924,4.41682461,24.55177925,0.694574833
715,mp_neon_mflops,600,0.903886054,4,1.081644156,34.05240376,15.15594529,1.659641282,22.7343707,4.269647977
716,mp_randmem,600,0.903361486,4,0.907398588,36.17142502,12.19717815,6.400532674,21.56736823,0.014911718
717,mp_whets,600,0.902202381,4,0.769963932,37.74928705,14.43795304,0.070865192,23.07628341,0.00778968
718,openmp_mem_spd,600,0.902585034,4,0.81867366,34.87902837,41.22043429,0.155888804,0.960048738,0.006001103
719,openmp_mflops,600,0.90277027,4,0.852116014,34.89921654,38.55308922,0.809698818,1.216497244,1.712983276
720,idle,800,0.916165541,1,0.191424108,1.34667643,0.331297703,0.110251857,0.946406177,0.021193209
721,basicmath,800,0.906940299,1,0.348640978,17.71388654,9.257084536,0.636845653,19.48098946,0.203343621
722,bitcount,800,0.901959459,1,0.396104919,21.88611614,16.16933215,0.096367842,19.10375958,0.018232335
723,qsort,800,0.908916084,1,0.340228336,18.29319663,9.272586344,0.491614313,16.45681356,0.455753134
724,susan,800,0.906124101,1,0.382385504,17.66901908,13.37700598,0.163732173,22.89891836,0.078615012
